title;company;location;description
SOPORTE TÉCNICO;por defecto;por defecto;Konexa se encuentra en búsqueda de Soporte Técnico para importante empresa del rubro de salud. Funciones: • Habilitación, reparación y mantención de equipamiento tecnológico (Impresoras, PC, scanners y otros periféricos tecnológicos). • Apoyo a usuarios finales en sistemas de la organización (ejemplo: HIS, RIS, PAC, LIS, DIS, LME, entre otros). • Apoyo telefónico fijo, móvil que usa la organización. • Uso de herramientas de ticket (Red911) seguimiento, escalabilidad y resolución • Apoyo herramientas G-Suite • Apoyo herramientas Microsoft - AD - VPN. • Soporte en apoyo de redes • Elaboración de informes bajo demanda • Capacitar a equipos internos de soporte en procesos clínicos relacionados a soporte nivel 1. • Realizar capacitación de usuarios, sobre herramientas de microinformática • Realizar trabajos preventivos. • Realizar tareas de soportes asociadas a temas de ciberseguridad. • Preparar ambientes tecnológicos que requiera la organización (Implementar salas con PC, habilitar auditorios, entre otros) • Traslado de equipamiento informático de un punto a otro. • Soporte nivel 1 redes y telefonía IP • Otras funciones determinadas por su jefatura, asociadas a su perfil Requisitos excluyentes: 1. Desde 1 año de experiencia en cargos similares de soporte informático. a) Habilitación, reparación y mantención de equipamiento tecnológico (Impresoras, PC, scanners y otros periféricos tecnológicos b) Apoyo herramientas G-Suite c) Elaboración de informes bajo demanda d) Realizar trabajos preventivos. e) Realizar tareas de soportes asociadas a temas de ciberseguridad. f) Preparar ambientes tecnológicos que requiera la organización (Implementar salas con PC, habilitar auditorios, entre otros) g) Traslado de equipamiento informático de un punto a otro. 2. Experiencia con dominio en alguno de ellos (HIS, RIS, PAC, LIS, DIS, LME, entre otros) 3. Manejo Suite de ofimática nivel medio. 4. Manejo de lógica computacional nivel avanzado. 5. Conocimientos de Hardware nivel avanzado. *Tener disponibilidad para realizar turnos rotativos. *Contar disponibilidad para trasladarse dentro de la Región Metropolitana y Rancagua (Este gasto lo cubre la empresa) .
JEFE DE SEGURIDAD INFORMÁTICA;por defecto;por defecto;Estamos en la búsqueda de un profesional altamente calificado para asumir el rol de Jefe de Ciberseguridad. El candidato ideal será responsable de proteger la infraestructura digital de la organización, asegurando que se implementen y mantengan las mejores prácticas y tecnologías para garantizar la seguridad de nuestros datos y sistemas. Principales Responsabilidades del Cargo Diseñar, implementar y mantener medidas de seguridad informática para proteger los sistemas de información contra ataques cibernéticos y garantizar la integridad, confidencialidad y disponibilidad de los datos. Planificar y liderar los proyectos de seguridad de la información, con el objetivo de proteger y resguardar a la empresa ante distintos riesgos existentes de cibercrimen y garantizar las políticas de seguridad. Administrar y llevar a cabo la identificación, análisis, correlación y notificación proactiva de eventos e incidentes de ciberseguridad, con el fin de ofrecer un servicio de monitoreo las 24/7. Dirigir las acciones posteriores a incidentes con proveedores, clientes internos y equipos de ciberseguridad. Supervisar y ser el enlace con los proveedores de servicios tecnológicos relacionados con el área para garantizar la ejecución del trabajo. Asesorar a la línea proporcionando su perspectiva técnica sobre mejoras, incidentes y proyectos. Crear la traducción técnica de los problemas identificados, explicándolos de manera que los usuarios los comprendan y proponiendo soluciones para su mejora. Informar al equipo directivo de la gerencia sobre los progresos en las estrategias, políticas, incidentes y proyectos de seguridad. Organizar y administrar el portafolio de proyectos de tecnología de la información, supervisando al equipo y su carga de trabajo, monitoreando y evaluando los avances del proyecto para garantizar el cumplimiento de los objetivos establecidos en cuanto a resultados y plazos. Tomar las decisiones operativas necesarias para cumplir y concluir los proyectos dentro del tiempo y el presupuesto establecidos. Requerimientos Técnicos Formación Académica: Ingeniería Civil Industrial, Ingeniería Civil Computación, Ingeniería Informática, Ingeniería en Telecomunicaciones, Seguridad, Redes o carrera afín. Experiencia Laboral: Mínimo 5 años de experiencia liderando equipos multidisciplinarios y al menos 3 años de experiencia en ciberseguridad. Idiomas: Inglés nivel avanzado oral y escrito. Conocimientos Deseables: Conocimiento avanzado en ERP SAP y Microsoft Office. Infraestructura de Redes y Telecomunicación. Ciberseguridad avanzada. Frameworks y estándares de ciberseguridad (CIS CONTROL, NIST, etc.). Administración y seguridad en Office 365. Redes inalámbricas y telefonía. Tecnologías Fortinet deseable.
CONSULTOR TELECOMUNICACIONES (SECTORIAL BANCA) SANTIAGO;por defecto;por defecto;Inelcom Chile, es una compañía global en constante crecimiento, poseemos una vocación de servicio con un fuerte compromiso social, somos innovadores de impacto en soluciones de Ingeniería y Tecnologías, entregando un servicio integral a grandes empresas, ofrecemos un servicio personalizado, ágil y proactivo para encontrar las mejores soluciones, haciendo parte de nuestro éxito a nuestra gente, nuestros clientes y comunidades para marcar el futuro de manera positiva. Nuestro cliente, lider en soluciones de telecomunicaciones, innovación, conectividad para empresas y consumidores a Consultor en Telecomuncaciones (Sectorial Bancario) Misión del Rol: Impulsar, desarrollar y ejecutar una estrategia diferenciadora de captura de nuevos negocios Big Bills. Responsable de desarrollar la cartera de clientes (Banca), aumentar la penetración y desarrollo de nuevas influencias de compra y capturar el Wallet Share. Requisitos: Título en Ingeniería Eléctrica, Electrónica, Ingeniero en Telecomunicaciones, carreras afines. (perfil con conocimiento cloud, tecnología). Al menos 4 a 5 años de experiencia comercial en venta de telecomunicaciones o sector de tecnología. Experiencia y manejo (atención) comercial de cartera de clientes Empresas y/o Corporaciones. Experiencia relevante en venta consultiva. Manejo de office a nivel intermedio. Conocimiento en evaluación de proyectos. Conocimientos técnicos en oferta de servicios core, móvil y digital.
INGENIERO DE DESARROLLO DE APLICACIONES;por defecto;por defecto;Somos NETaxion empresa con 10 años de funcionamiento en el mercado; dedicada a brindar servicios de infraestructura TI, OT, redes industriales y fibra óptica para la continuidad operacional de la industria minera. Actualmente, nos encontramos en la búsqueda de un Ingeniero de Desarrollo de Aplicaciones, con el siguiente perfil: Requisitos: - Ingeniero en Informática, Telecomunicaciones o afín. - 4 años de experiencia en cargos similares. - Contar con experiencia en Lenguaje de programación Python, JavaScript, HTML, CSS. Frameworks Django, Flask, React, JQuery, VUE, Bootstrap.. (excluyente) - Experiencia deseable en Desarrollo de aplicaciones móviles Flutter o React Native. (deseable) - Trabajo de 100% presencial en Providencia. Objetivo del cargo: Responsable del desarrollo y mantenimiento de aplicaciones web utilizando Flask y React, implementación de APIs RESTful para la comunicación entre el frontend y el backend, colaboración con el equipo de diseño para crear interfaces de usuario intuitivas y migración de aplicaciones web. ¡Postula y se parte de un equipo de excelencia!
INGENIERO DE SW;por defecto;por defecto;Se requiere Ingeniero de SW para rubro Financiero. Con los siguientes requisitos: * Lenguajes para microservicios WEB y Mobile : Java - VB Studio - ASP – PHP (requerido excluyente) * BD SQL Server / Oracle / MongoDB (requerido excluyente) * Postman (requerido excluyente) * SOAPUI (requerido excluyente) * Ideal conocimientos de Inversiones (Acciones, divisas, fondos mutuos, corredora o administradora de fondos). Esto es un deseable. * Gestión de proyectos, Seguimiento, control (requerido excluyente) * Habilidades blandas de negociación (requerido excluyente)
JEFE DE PROYECTO;por defecto;por defecto;RESPONSABILIDADES CLAVE: * DEFINICIÓN TÉCNICA: Participar en la definición de la arquitectura del proyecto y en decisiones técnicas clave. * REVISIÓN DE CÓDIGO: Asegurar la calidad técnica del trabajo del equipo. * IMPLEMENTACIÓN Y AUTOMATIZACIÓN: Aplicar nuevas tecnologías y gestionar procesos de automatización. * PLANIFICACIÓN Y SEGUIMIENTO: Definir y planificar proyectos, supervisar el progreso y realizar ajustes. * GESTIÓN DE RIESGOS: Identificar y mitigar riesgos del proyecto. * INTERACCIÓN CON CLIENTES: Gestionar expectativas y asegurar la satisfacción del cliente. * LIDERAZGO DE EQUIPO: Coordinar y motivar equipos de desarrollo. CONOCIMIENTOS TECNICOS * Implementación de proyectos en tecnologías móviles, tales como Ionic y Android. * Conocimientos de arquitectura de software orientada a servicios. * Manejo de control de versiones con GIT. * Otro stack de tecnologías: php, javascript, mysql, postgresql, algún framework php.
API PRODUCT MANAGER;por defecto;por defecto;Se requiere un Profesional para el cargo de API PRODUCT MANAGER para el rubro Financiero, que realice las siguientes funciones: A. Definir estrategias, generar y ejecutar un plan anual o programa de APIs, que incluya actividades para cumplimiento a la Normativa Interna, y dar cuenta de éstos a una Mesa/Comité Estratégico de APIs. B. Desarrollar, actualizar e implementar lineamientos y procedimientos, en lo relativo a la administración del ciclo de vida de las APIs, con apoyo directo del grupo multidisciplinario de especialistas que compone el Equipo de Integración de APIs. C. Implementar un programa continuo de sensibilización (evangelización), acerca de la importancia de las mejores prácticas en cuanto a diseño y uso de las APIs, a los distintos niveles y áreas de la Empresa, así como su mantenimiento a futuro. D. Canalizar hacia la Mesa/Comité Estratégico de APIs los reportes de eventos producto de una incorrecta administración del ciclo de vida de las APIs, y obtener la aprobación de las medidas de mitigación pertinente, y realizar el respectivo seguimiento al estado de sus soluciones/mitigaciones. E. Velar que exista una adecuada segregación de tareas y las áreas de responsabilidad ante posibles conflictos de interés con el fin de reducir las oportunidades de una modificación no autorizada o no intencionada. F. Velar que exista una adecuada consolidación y registro de la información de las APIs. G. Revisar, controlar, medir e informar periódicamente el cumplimiento de los lineamientos o controles establecidos tanto en el marco del Gobierno de APIs como en los objetivos negocio. H. Gestionar las excepciones a cualquiera de los procedimientos, lineamientos o controles establecidos. I. Promover el uso de APIs tanto al interior de la Empresa, como a los eventuales clientes externos que requieran conexión directa a los distintos productos o servicios que ofrece la Telefónica Chile.
INGENIERO PROYECTOS .NET WEB SERVICE;por defecto;por defecto;Somos una Empresa de Tecnología innovadora, con experiencia en rubros como tecnología, retail, banca u otros. Estamos en búsqueda de un Ingeniero de Proyectos .NET Web Service con 5 años de experiencia en cargo similar (comprobable) en proyectos. Dirigir un proyecto de Desarrollo de Software. Funciones del cargo: Responsable de liderar los proyectos de Software a cargo. Será Responsable del diseño de la arquitectura de los sistemas a cargo, y la elaboración de la documentación técnica de ingeniería de detalles, manuales técnicos, Operativos y de Mantenimiento. Realizar un análisis de los requerimientos para levantar posibles interferencias o diferencias según las bases de licitación y presentarlas de manera interna y hacia el cliente para acordar los cambios de alcance si es necesario. Liderar/Participar en reuniones técnicas para presentar y concretar, difundir, sustentar, construir y probar las diferentes soluciones. Acordar con el cliente la solución y plasmarla en los documentos de cada ingeniería, así como la documentación de interfaces. Responsable del seguimiento de la instalación de los sistemas a su responsabilidad Responsable de configuración y pruebas de los sistemas, junto con los proveedores tecnológicos, de ser el caso. Requerimientos del cargo: Experiencia proyectos de desarrollo de software, conocimiento o Desarrollo en WebService tipo REST y SOAP, así como desarrollos en sistemas de mensajeria. Implementaciones mediante XML o JSON. Manejo y conocimiento en herramientas de motores de BBDD. Experiencia desarrollando aplicaciones web en ASP .Net, HTML 5, JavaScript y PHP. Se valorarán conocimientos en Python, Java y Visual Basic; herramientas de análisis y gráfico de datos. Deseable 5 años de experiencia en cargo similar (comprobable) en proyectos. Dirigir un proyecto de Desarrollo de Software.
TECNICO EN TELECOMUNICACIONES;por defecto;por defecto;Empresa de telecomunicaciones requiere técnicos con experiencia en servicio ATC Entel, para operar dentro de la región metropolitana, renta acorde al mercado. Sueldo base + bonificación por Producción. Requisitos: -Experiencia en ATC Entel -Licencia clase B, al día y vigente. -Disponibilidad inmediata.
SOPORTE N1 (REDES, CONTECTIVIDAD, WIRELESS, SEGURIDAD);por defecto;por defecto;En Hiway estamos buscando un profesional en el área de redes y seguridad con al menos 3 años de experiencia, para SOPORTE N1. **¿Qué harás con nosotros? - Administrar y asegurar por el buen funcionamiento de la plataforma del cliente sujeto al contrato de servicio, cumpliendo con los SLA comprometidos. - Atender y resolver los casos asignados, dar asistencia técnica y operativa correspondiente, y generar los informes solicitados. -Administrar las plataformas tecnológicas del cliente definidas en los acuerdos comerciales -Cumplir con los SLA comprometidos para su rol. -Resolver los casos en forma remota o presencial que le sean asignados. -Actualización de la información de los casos que le sean asignados hasta el cierre de estos en el sistema de Service Desk. -Hacer las gestiones definidas por procedimiento para la apertura y control del seguimiento de los casos con terceros hasta dar respuesta satisfactoria a los clientes. -Escalar oportunamente los casos asignados y no se hayan resuelto al siguiente nivel habilitado para ello. -Desarrollo de informes técnicos de manera eficiente y de calidad según le sean solicitados. -Participar en la investigación de incidentes/problemas en busca de la causa raíz. -Participar en la creación, propuesta, generación, actualización de los procedimientos o instructivos técnicos según le sean solicitados. **¿Por qué es una buena idea postular? - Porque somos una empresa centrada en el servicio y en las personas y eso siempre representará desafíos. - Aquí serás protagonista y participe de todo tu entorno de aplicación técnica y de las iniciativas con tu equipo y compañeros (de otros equipos). - Porque nunca fracasamos, siempre aprendemos. - También tenemos beneficios con sentido, algunos son: Seguro complementario de salud y dental 70% cubierto por la empresa, día libre por cumpleaños, bonos por matrimonio, fiestas patrias, navidad, nacimiento, escolaridad de hijos (a), plan de formación anual HiwayCollege, días administrativos, licencia Udemy Business ilimitada, entre otros. **Para Postular necesitarás: -Titulo en Ingeniería o técnico en Telecomunicaciones, conectividad y redes. - Formación (cursos en materias específicas habilitantes para el desempeño del cargo) -Experiencia en el soporte y administración de plataformas/soluciones de redes y comunicaciones, seguridad. -Certificación o curso/conocimiento comprobable CCNA Routing &amp; Switching o similar (Excluyente). - Sólida habilidad para gestionar requerimientos y trato con terceros para brindar soluciones. -Conocimientos Fundamentos de ITIL. -Nivel medio en Ms Office (Word, Excel). **Requerimientos que potencian tu postulación : poseer experiencia en el soporte y administración de plataformas/soluciones en networking, wireless, y seguridad. Esperamos tu postulación, también puedes escribirnos a: mariely.bermudez@cxhiway.com
AYUDANTE TECNICO (ENTEL FIBRA HOGAR);por defecto;por defecto;Importante empresa del rubro de las Telecomunicaciones requiere personal para proyecto en Entel para la Región de Los Lagos comuna de Puerto Montt Requisitos · Licencia de Conducir Clase B (excluyente) · 4to Medio Cursado. · Experiencia Laboral de 1 a años de experiencia idealmente en cargo similar (No excluyente) · Disponibilidad de trabajo de Lunes a Sábado, Feriado según Solicitud Mandante. · Disponibilidad inmediata. · Proactivo y responsable, Trabajo en equipo y Ganas de aprender Enviar CV (ACTUALIZADO) a icastillo@rexsoluciones.cl +56 9 48492967
ESPECIALISTA DE SEGURIDAD Y ADMINISTRADOR DE PLATAFORMAS;por defecto;por defecto;En BCTecnologia nos encontramos en la búsqueda de un profesional Especialista en Seguridad y Administrador de Plataforma con al menos 3 años de experiencia en. • Seguridad TI: Obligatorio. • Administración de Consolas: Experiencia en TrendMicro (ApexOne, VisionOne), DeepSecurity, y Tenable. • Redes y Vulnerabilidades: Gestión de redes y vulnerabilidades. • Participación en Proyectos: Experiencia en proyectos de seguridad. • Linux: Deseable, no excluyente OFRECEMOS: • Contrato Proyecto de 8 meses • Modalidad: Hibrido • Ubicación: Las Condes • Beneficios Si cumples con el perfil Enviar CV mencionando con experiencia a: pcares@bctecnologia.com Indicando pretensiones de renta y me pondré en contacto contigo a la brevedad si cumples con el perfil solicitado.
RM- MAESTROS LINIEROS.;por defecto;por defecto;Importante empresa del rubro de telecomunicaciones, con más de 20 años en el rubro y presente en toda la industria, Nos encontramos en Busca de "Maestros Linieros" para ser parte del mejor equipo de trabajo. Contamos con múltiples beneficios, tales como asignación de comunicaciones, seguro complementarios de salud para ti y tu grupo familiar, seguro de vida, convenios con bancos, gimnasios, ópticas, etc. Experiencia en Tendidos de Cable de FO Aéreos, Subterráneos, bandejas y escalerillas Ejecutar la instalación de cables para el mejoramiento de red existente o reparación de fallas Ejecución de tendidos de cables Aereos y Subterraneos Remates de cables en postación y cámaras Experiencia en instalación de unidades de Tierra ( Postes, Anclas, Rieles ) Ordenamientos de Cables, Aereos y Subterraneos ( cámaras ) Ejecución de Canalizaciones menores
TECNICO EN TELECOMUNICACIONES;por defecto;por defecto;Estamos en la búsqueda de técnicos en telecomunicaciones con experiencia en tecnologías Fibra Óptica para unirse a nuestro equipo en la región metropolitana ( Norte de Santiago). Requisitos: • Experiencia previa en Fibra Óptica (No excluyente) • Licencia de conducir tipo B. • Salud acorde a las funciones del puesto. • Capacidad para trabajar en equipo y resolver problemas. Ofrecemos: • Oportunidades de desarrollo profesional. • Un ambiente de trabajo dinámico y colaborativo. • Remuneración competitiva. ¡Esperamos tu postulación!
DESARROLLADOR FULLSTACK;por defecto;por defecto;¡En empresa Safeteck estamos en búsqueda de un desarrollador FULLSTACK para unirse a nuestro equipo! Si tienes experiencia tanto en desarrollo web como móvil, y te motiva trabajar en un entorno dinámico y colaborativo, esta es tu oportunidad. Funciones principales: · Desarrollo de FRONTEND y BACKEND, integrando APIS para crear flujos de trabajo END-TO-END. · Colaborar con equipos internos para asegurar la integración eficiente con las plataformas CORE de la organización. Si tienes experiencia en estas áreas y te interesa enfrentar nuevos desafíos, ¡nos encantaría conocerte! envíanos tu CV al siguiente correo contacto@gruposafeteck.com
TÉCNICO ELÉCTRICO;por defecto;por defecto;¡Únete a nuestro equipo! Técnico Eléctrico con Certificación SEC clase B y Manejo de AutoCAD Estamos en búsqueda de un Técnico Eléctrico, para formar parte de nuestro equipo de trabajo, nuestra empresa se encuentra ubicada en la comuna de Lo Espejo. Nuestro técnico requiere poseer: • Conocimiento práctico y experiencia en el montaje y armado de T1. • Conocimiento de normas de seguridad y reglamentación eléctrica. • Capacidad para interpretar y dibujar planos eléctricos y especificaciones técnicas, calcular cargas eléctricas, seleccionar los materiales y equipos adecuados, y planificar las fases del proyecto. • Capacidad para identificar y solucionar fallas en los sistemas eléctricos, realizar mantenimiento preventivo y correctivo, y garantizar el correcto funcionamiento de los equipos y sistemas eléctricos a largo plazo. Requisitos: • Certificación SEC clase B vigente (excluyente). • Manejo de AutoCAD. • Experiencia y conocimiento en armado de T1. • Licencia de conducir clase B (excluyente). • Residencia en Santiago • Disponibilidad de viajar fuera de Santiago. • Mínimo 2 años de experiencia en el área. Si tienes la experiencia y habilidades que buscamos, ¡esperamos tu postulación!
DESARROLLADOR FULL STACK C# .NET – COMPAÑÍA DE TECNOLOGÍA.;por defecto;por defecto;Nos encontramos en la búsqueda de un Desarrollador Full Stack C# .NET para nuestro cliente de Tecnología. Objetivo de cargo: • Desarrollar y mantener aplicaciones utilizando C# .NET 7 o superior y el framework Blazor Server. • Implementar y gestionar bases de datos utilizando ADO.NET y Entity Framework Core. • Trabajar en proyectos Full Stack, desarrollando tanto el front-end como el back-end de las aplicaciones. • Utilizar controles DevExpress v23 para el desarrollo de interfaces de usuario (deseable). • Realizar consultas y procedimientos en Transact SQL 2016 o superior. • Colaborar con otros desarrolladores y equipos para asegurar la calidad y funcionalidad del software. Requisitos: • Poseer título técnico o universitario de las áreas de informática, o similares. • 2 años de experiencia en Desarrollo Full Stack (Back-end y Front-end), de preferencia Desarrollando App Web. • Lenguaje de programación: C# .NET 7 o superior (Obligatorio) • Framework: Blazor Server (Obligatorio) • Conocimientos en ADO.NET y Entity Framework Core (Obligatorio) • Transact SQL 2016 o superior • Controles: DevExpress v23 (Deseable) Se ofrece: • Renta acorde al mercado. • Lugar de trabajo: Las Condes. • Jornada Laboral: Hibrida, en su mayoría teletrabajo. • Vacante estable, con beneficios internos de la empresa. *La postulación se encuentra abierta para que puedan postular personas con discapacidad o bajo el marco de la ley 21.015. Si requieres algún ajuste razonable para participar en el proceso de selección, avísanos para facilitar tu participación en igualdad de oportunidades. Si estas interesado/a y cumples con el perfil ¡Postula con nosotros!
INFORMÁTICA PRÁCTICA;por defecto;por defecto;Empresa ubicada en Valle Grande, comuna de Lampa, dedicada a la fabricación y comercialización de productos para la minería con más de 31 años en el mercado, se encuentra en la búsqueda de un Practicante de Informática para ayudar a entregar servicio de soporte a usuarios backoffice - Generación de documentación, checklist y procedimientos - Análisis de Procesos y generación de flujos RPA. Entregamos asignación para la movilización $400.000 y almuerzo en casino.
ADMINISTRADOR DE REDES Y SOPORTE;por defecto;por defecto;¡Trabaja con nosotros! Buscamos un Administrador de Redes y Soporte, que le guste el trabajo en equipo, que sea capaz de comunicarse a todo nivel en la empresa, con buena disposición, y que tenga ganas de crecer en una industria que le permitirá llegar muy lejos, ¡no hay techo, todo depende de tus ganas y motivación! Las funciones serán desarrolladas de forma presencial en San Bernardo, en empresa de industria metalmecánica por lo que es un plus que hayas trabajado en fábricas. Tus tareas serán las siguientes: - Administración de redes y servicios. - Gestión y seguridad de datos. - Administración y Mantenimiento de Software y Hardware. - Administración de cuentas de usuarios. - Buscar e implementar constantemente nuevas tecnologías que ayuden a mejorar la gestión del negocio. - Buscar e implementar oportunidades en la automatización de procesos. - Compra de equipos tecnológicos y configuración de equipos de impresoras. - Cotización de proveedores de equipos tecnológicos. - Programa de revisión de equipos tecnológicos de planta y oficina. - Mantenimiento preventivo de impresoras y equipos. - Inventario de equipos tecnológicos de la empresa. - Soporte técnico a usuarios. - Revisión de fallas de equipos. - Revisión de Data Mobile y Facturación de Servicios Fijos. - Desecho de basura tecnológica que no se utiliza. ¿Quién sería nuestro candidato idóneo? - Nivel de estudios: Ingeniero Informática. - Conocimientos en Redes, Mantención de Equipos Computacionales, Conocimiento en Ciber seguridad. - Experiencia mínima: 3 años Si cumples con estos requisitos, postula con nosotros!!
DESARROLLADOR FULL STACK .NET ANGULAR;por defecto;por defecto;Descripción de empleo Somos TECNOVA, empresa TI Fabrica de Software y outsourcing Ti con 24 años en el mercado Chileno, con sede en Colombia Peru y USA trabajamos con candidatos a nivel mundial. Buscamos Desarrollador .NET Angular Condiciones: Tipo de Contrato: Indefinido Modalidad: Híbrido - Santiago de Chile Formación: Titulado en Ingeniería de Sistemas o afines. Experiencia: 5 años en desarrollo de tecnologías .Net, Angular y SQL. Microsoft .NET / C# framework 4.6 / framework .NET 6 HTML, CSS responsive, Bootstrap, Javascript. Angular 11+, typescript Desarrollo front-end bajo modelo vista controlador (Web Angular + API Net6) Conocimiento de UI/UX Programación orientada a objetos (clases, objetos, interfaces, etc.) Conocimiento en bases de datos SQL Server. Desarrollo y consumo de APIs (Rest o WebApi) Conocimiento en análisis, diseño, desarrollo de Software. Capacidad de análisis de requerimientos. Haber trabajado en arquitectura en capas. Metodologías ágiles de desarrollo y en desarrollo seguro. Conocimiento en utilización de los siguientes softwares: GIT/SVN. SoapUi, Postman o herramienta similar Requisitos Excluyentes: Tener experiencia en Angular, .NET y GITHUB. No dudes en postular: johana.garcia@tecnova.cl o puedes escribir al WhatsApp https://wa.link/w9rz0m y resolverémos todas tus dudas sobre la vacante!
TÉCNICO EN INFORMÁTICA PHP, MYSQL, CSS, WORDPRESS;por defecto;por defecto;Buscamos técnica/o en informática con experiencia en manejo de Woprdpress con Wooocommerce, desarrollo de pequeños plugins para la plataforma, que pueda montar un entorno de desarrollo en su local y pueda trabajar con un equipo de servicio al paciente quien solicitará requerimientos tales como: - Crear nuevos profesionales en el sistema: Creación de usuario, incorporación de imágenes de perfil, incorporación de categorías descritas por el postulante, conexión con sus cuenta de correo, capacitación para el uso de la plataforma, eliminación del perfil. - Subir y bajar categorías de los perfiles de los profesionales - Agregar días libres y configurar el sistema con días, horas de atención y categorías - Realizar mantención a la BD de manera esporádica - Realizar pequeños desarrollos para la optimización de las funciones descritas anteriormente - Trato directo con equipo y lider de servicio al paciente y lider de operaciones. - Trabajo remoto con un día a la semana de asistir a la oficina - 4 semanas de vacaciones al año - Un día viernes libre a la semana - Jornada laboral de 40 horas
INTEGRADOR MIRTH SENIOR;por defecto;por defecto;En XMS Talentos TI, nos encontramos en la búsqueda de profesionales para desempeñarse en un proyecto inicial de 6 meses para importante cliente del rubro de la salud como "Integrador Mirth Senior". Función Principal: Ingeniero con conocimientos en configuración y desarrollo de interfaces (SOAP, APIs Rest) a través de Mirth Connect y documentación de procesos. Condiciones laborales: * Horario laboral 8:30 a 18:00 de lunes a viernes * Contrato por proyecto de 6 meses * Modalidad 100% remota * Contrato con XMS Talentos TI para prestar servicios a nuestro cliente * Inicio de funciones 1-11-2024 * Renta hasta $2.500.000 líquido Requisitos mínimos: * Mirth Connect * Creación de servicios * Javascript * Java Estándares de integración Deseables: * SAP * Estándares HL7 FHIR
DESARROLLADOR BACKEND JAVA SENIOR;por defecto;por defecto;En Abenis nos encontramos en búsqueda de un (a) Desarrollador Backend Java con al menos 5 años de experiencia para unirse a equipo de cliente líder en innovación Tecnológica. - Experiencia Desarrollando con Java V17, Python (consulta uso diario) - Experiencia con base de datos relacionales (MySQL y PostgreSQL) y no relacionales (Mongo DB) - Experiencia usando Spring boot y Microservicios - Contrato directo e Indefinido con cliente - Modalidad 100 % presencial los primeros 6 meses , luego Hibrida. - Jornada laboral de lunes a Jueves 08:30 a 18:00, Viernes 08:30 a 17:00 Si eres un profesional comprometido y tienes experiencia como Desarrollador Java , ¡te invitamos a postular con nosotros !
TECNICO TORRERO INSTALADOR PARA TELECOMUNICACIONES;por defecto;por defecto;Tecnico Torrero instalador para Telecomunicaciones Se solicita experiencia en trabajo en altura física. Experiencia en instalaciones de tecnologías de telecomunicaciones en torres de telecomunicaciones (3G, 4G, 5G).
JEFE DE PROYECTOS TI;por defecto;por defecto;En Ecofor Soluciones Tecnológicas desarrollamos productos y servicios de TI a nuestros clientes, basados en el diseño e integración de soluciones innovadoras y eficientes que apoyen el funcionamiento y la productividad de las empresas. Buscamos sumar al equipo un Project Manager que pueda gestionar múltiples proyectos, tenga una excelente orientación al cliente y sea el puente principal entre cliente y equipo para transmitir las necesidades. Funciones del cargo - Asegurar que los alcances de los proyectos están adecuadamente gestionados y controlados. - Colaborar con las diferentes unidades de negocio en la definición de los objetivos del proyecto. - Revisar y mantener actualizadas y disponibles las métricas de los proyectos. - Planificar los proyectos en todos sus aspectos, identificando las actividades a realizar, recursos, plazos y costos previstos. - Identificar y gestionar los riesgos del proyecto. - Mantenimiento permanente de las relaciones con clientes. - Gestionar al equipo, los tiempos y prioridades del equipo. Requerimientos del cargo - Experiencia de 2 o más años como Jefe de Proyectos liderando proyectos de desarrollo de software. - Título de Ingeniería en Informática, Civil Informática o similares. - Experiencia en implementación de proyectos grandes y complejos. - Interacción con equipos multidisciplinarios. - Aplicación de metodologías de gestión de proyectos tradicional y ágil. - Herramientas de seguimiento, gestión de proyectos y comunicación. - Interés por mantenerte siempre actualizado en las tecnologías. - Tener una visión estratégica para visualizar escenarios futuros y proactividad para mitigar riesgos. Se valora - Experiencia en cargos de programación. - Conocimiento de AWS. - Certificación de Product Owner/Scrum Master.
DESARROLLADOR .NET;por defecto;por defecto;Somos una empresa con 34 años en el mercado, contamos con servicios de fábrica de desarrollo de software y prestación de servicios de profesionales a través de Outsourcing, nuestra matriz está en Concepción y contamos con una operación en Santiago. Nos encontramos en búsqueda de un Desarrollador .NET, mínimo 3 años de experiencia, para incorporarse con uno de nuestros clientes. Excluyente: • .Net (visual basic) / SQL Server Se Ofrece: Tipo Contrato: Proyecto Modalidad de trabajo: Hibrido Horario: Lunes a viernes 8:30 a 18:30 hrs. Santiago
ADMINISTRADOR SERVIDORES LINUX;por defecto;por defecto;Nos encontramos en la búsqueda de un técnico/ingeniero informático para el cargo Administrador Linux. Requisitos Experiencia en Administración servidores Linux. Conocimiento en servicios/subsistemas asociados a Linux (Apache, MySql, etc) Conocimientos en Virtualización VMware , Cloud, etc. Conocimientos de Microservicios / Contenedores (Deseable). Conocimientos/experiencia en Kafka, Elasticsearch , Haproxy (Deseable) Persona Autónoma con capacidad de Autoestudio. Horario : Lunes a viernes . 09:00 a 19:00 hrs Trabajo Presencial (Stgo Centro).
